date,home_team,away_team,home_score,away_score,home_elo,away_elo,home_fifa_ranking,away_fifa_ranking,home_average_age,away_average_age,home_squad_size,away_squad_size,home_market_value,away_market_value,home_confederation,away_confederation,neutral,tournament
1872-11-30,Scotland,England,0.0,0.0,1997.0,2003.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,Friendly
1873-03-08,England,Scotland,4.0,2.0,2014.0,1986.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,Friendly
1874-03-07,Scotland,England,2.0,1.0,1994.0,2006.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,Friendly
1875-03-06,England,Scotland,2.0,2.0,2003.0,1997.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,Friendly
1876-03-04,Scotland,England,3.0,0.0,2010.0,1990.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,Friendly
1876-03-25,Scotland,Wales,4.0,0.0,2011.0,1499.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,Friendly
1877-03-03,England,Scotland,1.0,3.0,1990.0,2011.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,Friendly
1877-03-05,Wales,Scotland,0.0,2.0,1499.0,2011.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,Friendly
1878-03-02,Scotland,England,7.0,2.0,2011.0,1990.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,Friendly
1878-03-23,Scotland,Wales,9.0,0.0,2011.0,1499.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,Friendly
1879-01-18,England,Wales,2.0,1.0,1990.0,1499.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,Friendly
1879-04-05,England,Scotland,5.0,4.0,1990.0,2011.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,Friendly
1879-04-07,Wales,Scotland,0.0,3.0,1499.0,2011.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,Friendly
1880-03-13,Scotland,England,5.0,4.0,2011.0,1990.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,Friendly
1880-03-15,Wales,England,2.0,3.0,1499.0,1990.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,Friendly
1880-03-27,Scotland,Wales,5.0,1.0,2011.0,1499.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,Friendly
1881-02-26,England,Wales,0.0,1.0,1990.0,1499.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,Friendly
1881-03-12,England,Scotland,1.0,6.0,1990.0,2011.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,Friendly
